Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.000195,0.999612,62
M,0.000195,0.999612,21
Q,0.000195,0.999612,164
R,0.000195,0.999612,45
H,0.000196,0.999611,60
M,0.000196,0.999611,28
Q,0.000196,0.999611,135
R,0.000196,0.999611,30
H,0.000197,0.999609,69
M,0.000197,0.999609,31
Q,0.000197,0.999609,256
R,0.000197,0.999609,26
H,0.000198,0.999606,63
M,0.000198,0.999606,21
Q,0.000198,0.999606,250
R,0.000198,0.999606,34
H,0.000199,0.999604,63
M,0.000199,0.999604,23
Q,0.000199,0.999604,154
R,0.000199,0.999604,26
H,0.000200,0.999602,64
M,0.000200,0.999602,29
Q,0.000200,0.999602,234
R,0.000200,0.999602,40
H,0.000201,0.999600,65
M,0.000201,0.999600,30
Q,0.000201,0.999600,205
R,0.000201,0.999600,33
H,0.000202,0.999598,67
M,0.000202,0.999598,33
Q,0.000202,0.999598,123
R,0.000202,0.999598,27
H,0.000203,0.999597,69
M,0.000203,0.999597,24
Q,0.000203,0.999597,251
R,0.000203,0.999597,28
H,0.000204,0.999594,71
M,0.000204,0.999594,30
Q,0.000204,0.999594,320
R,0.000204,0.999594,29
H,0.000205,0.999592,57
M,0.000205,0.999592,25
Q,0.000205,0.999592,152
R,0.000205,0.999592,36
H,0.000206,0.999590,56
M,0.000206,0.999590,22
Q,0.000206,0.999590,135
R,0.000206,0.999590,34
H,0.000207,0.999588,68
M,0.000207,0.999588,31
Q,0.000207,0.999588,360
R,0.000207,0.999588,26
H,0.000208,0.999586,60
M,0.000208,0.999586,28
Q,0.000208,0.999586,175
R,0.000208,0.999586,40
H,0.000209,0.999584,63
M,0.000209,0.999584,22
Q,0.000209,0.999584,178
R,0.000209,0.999584,27
H,0.000210,0.999582,70
M,0.000210,0.999582,39
Q,0.000210,0.999582,107
R,0.000210,0.999582,51
H,0.000211,0.999580,66
M,0.000211,0.999580,22
Q,0.000211,0.999580,216
R,0.000211,0.999580,31
H,0.000212,0.999578,58
M,0.000212,0.999578,30
Q,0.000212,0.999578,170
R,0.000212,0.999578,26
H,0.000213,0.999576,72
M,0.000213,0.999576,23
Q,0.000213,0.999576,187
R,0.000213,0.999576,36
H,0.000214,0.999574,68
M,0.000214,0.999574,21
Q,0.000214,0.999574,122
R,0.000214,0.999574,27
H,0.000215,0.999572,70
M,0.000215,0.999572,22
Q,0.000215,0.999572,246
